30	American Bullfrog	bullfrog, Rana catesbeiana,	Animal	Amphibian
29	Axolotl	axolotl, mud puppy, Ambystoma mexicanum,	Animal	Amphibian
37	Box Turtle	box turtle, box tortoise,	Animal	Amphibian
25	Fire Salamander	European fire salamander, Salamandra salamandra,	Animal	Amphibian
34	Leatherback Sea Turtle	leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea,	Animal	Amphibian
33	Loggerhead Sea Turtle	loggerhead, loggerhead turtle, Caretta caretta,	Animal	Amphibian
35	Mud Turtle	mud turtle,	Animal	Amphibian
27	Newt	eft,	Animal	Amphibian
26	Smooth Newt	common newt, Triturus vulgaris,	Animal	Amphibian
28	Spotted Salamander	spotted salamander, Ambystoma maculatum,	Animal	Amphibian
32	Tailed Frog	tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui,	Animal	Amphibian
36	Terrapin	terrapin,	Animal	Amphibian
31	Tree Frog	tree frog, tree-frog,	Animal	Amphibian
73	Barn Spider	barn spider, Araneus cavaticus,	Animal	Arthopod
79	Centipede	centipede,	Animal	Arthopod
74	European Garden Spider	garden spider, Aranea diademata,	Animal	Arthopod
70	Harvestman	harvestman, daddy longlegs, Phalangium opilio,	Animal	Arthopod
71	Scorpion	scorpion,	Animal	Arthopod
75	Southern Black Widow	black widow, Latrodectus mactans,	Animal	Arthopod
76	Tarantula	tarantula,	Animal	Arthopod
78	Tick	tick,	Animal	Arthopod
69	Trilobite	trilobite,	Animal	Arthopod
77	Wolf Spider	wolf spider, hunting spider,	Animal	Arthopod
72	Yellow Garden Spider	black and gold garden spider, Argiope aurantia,	Animal	Arthopod
146	Albatross	albatross, mollymawk,	Animal	Bird
137	American Coot	American coot, marsh hen, mud hen, water hen, Fulica americana,	Animal	Bird
20	American Dipper	water ouzel, dipper,	Animal	Bird
15	American Robin	robin, American robin, Turdus migratorius,	Animal	Bird
22	Bald Eagle	bald eagle, American eagle, Haliaeetus leucocephalus,	Animal	Bird
92	Bee Eater	bee eater,	Animal	Bird
133	Bittern	bittern,	Animal	Bird
80	Black Grouse	black grouse,	Animal	Bird
128	Black Stork	black stork, Ciconia nigra,	Animal	Bird
100	Black Swan	black swan, Cygnus atratus,	Animal	Bird
10	Brambling	brambling, Fringilla montifringilla,	Animal	Bird
16	Bulbul	bulbul,	Animal	Bird
138	Bustard	bustard,	Animal	Bird
19	Chickadee	chickadee,	Animal	Bird
7	Cock	cock,	Animal	Bird
136	Common Gallinule	European gallinule, Porphyrio porphyrio,	Animal	Bird
141	Common Redshank	redshank, Tringa totanus,	Animal	Bird
91	Coucal	coucal,	Animal	Bird
134	Crane	crane,	Animal	Bird
142	Dowitcher	dowitcher,	Animal	Bird
97	Duck	drake,	Animal	Bird
140	Dunlin	red-backed sandpiper, dunlin, Erolia alpina,	Animal	Bird
130	Flamingo	flamingo,	Animal	Bird
11	Goldfinch	goldfinch, Carduelis carduelis,	Animal	Bird
99	Goose	goose,	Animal	Bird
132	Great Egret	American egret, great white heron, Egretta albus,	Animal	Bird
24	Great Grey Owl	great grey owl, great gray owl, Strix nebulosa,	Animal	Bird
87	Grey Parrot	African grey, African gray, Psittacus erithacus,	Animal	Bird
8	Hen	hen,	Animal	Bird
93	Hornbill	hornbill,	Animal	Bird
12	House Finch	house finch, linnet, Carpodacus mexicanus,	Animal	Bird
