"436. station wagon,","beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon,",item,vehicle,landcraft,,,,,,,
"444. tandem bicycle,","bicycle-built-for-two, tandem bicycle, tandem,",item,vehicle,landcraft,,,,,,,
"466. high-speed train,","bullet train, bullet,",item,vehicle,landcraft,,,,,,,
"468. taxicab,","cab, hack, taxi, taxicab,",item,vehicle,landcraft,,,,,,,
"472. canoe,","canoe,",item,vehicle,watercraft,,,,,,,
"479. car wheel,","car wheel,",item,vehicle,landcraft,,,,,,,
"484. catamaran,","catamaran,",item,vehicle,watercraft,,,,,,,
"510. container ship,","container ship, containership, container vessel,",item,vehicle,watercraft,,,,,,,
"511. convertible,","convertible,",item,vehicle,landcraft,,,,,,,
"517. crane,","crane,",item,vehicle,landcraft,,,,,,,
"537. dog sled,","dogsled, dog sled, dog sleigh,",item,vehicle,landcraft,,,,,,,
"547. electric locomotive,","electric locomotive,",item,vehicle,landcraft,,,,,,,
"554. fireboat,","fireboat,",item,vehicle,watercraft,,,,,,,
"555. fire engine,","fire engine, fire truck,",item,vehicle,landcraft,,,,,,,
"561. forklift,","forklift,",item,vehicle,landcraft,,,,,,,
"565. freight car,","freight car,",item,vehicle,landcraft,,,,,,,
"569. garbage truck,","garbage truck, dustcart,",item,vehicle,landcraft,,,,,,,
"573. go-kart,","go-kart,",item,vehicle,landcraft,,,,,,,
"575. golf cart,","golfcart, golf cart,",item,vehicle,landcraft,,,,,,,
"576. gondola,","gondola,",item,vehicle,watercraft,,,,,,,
"603. horse-drawn vehicle,","horse cart, horse-cart,",item,vehicle,landcraft,,,,,,,
"609. jeep,","jeep, landrover,",item,vehicle,landcraft,,,,,,,
"612. pulled rickshaw,","jinrikisha, ricksha, rickshaw,",item,vehicle,landcraft,,,,,,,
"625. lifeboat,","lifeboat,",item,vehicle,watercraft,,,,,,,
"627. limousine,","limousine, limo,",item,vehicle,landcraft,,,,,,,
"628. ocean liner,","liner, ocean liner,",item,vehicle,watercraft,,,,,,,
"654. minibus,","minibus,",item,vehicle,landcraft,,,,,,,
"656. minivan,","minivan,",item,vehicle,landcraft,,,,,,,
"661. Model T,","Model T,",item,vehicle,landcraft,,,,,,,
"665. moped,","moped,",item,vehicle,landcraft,,,,,,,
"670. scooter,","motor scooter, scooter,",item,vehicle,landcraft,,,,,,,
"671. mountain bike,","mountain bike, all-terrain bike, off-roader,",item,vehicle,landcraft,,,,,,,
"675. moving van,","moving van,",item,vehicle,landcraft,,,,,,,
"686. oil filter,","oil filter,",item,vehicle,landcraft,,,,,,,
"690. bullock cart,","oxcart,",item,vehicle,landcraft,,,,,,,
"693. paddle,","paddle, boat paddle,",item,vehicle,watercraft,,,,,,,
"701. parachute,","parachute, chute,",item,vehicle,aircraft,,,,,,,
"705. passenger car,","passenger car, coach, carriage,",item,vehicle,landcraft,,,,,,,
"717. pickup truck,","pickup, pickup truck,",item,vehicle,landcraft,,,,,,,
"724. pirate ship,","pirate, pirate ship,",item,vehicle,watercraft,,,,,,,
"730. plow,","plow, plough,",item,vehicle,landcraft,,,,,,,
"734. police van,","police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria,",item,vehicle,landcraft,,,,,,,
"757. recreational vehicle,","recreational vehicle, RV, R.V.,",item,vehicle,landcraft,,,,,,,
"779. school bus,","school bus,",item,vehicle,landcraft,,,,,,,
"802. snowmobile,","snowmobile,",item,vehicle,landcraft,,,,,,,
"803. snowplow,","snowplow, snowplough,",item,vehicle,landcraft,,,,,,,
"812. space shuttle,","space shuttle,",item,vehicle,spacecraft,,,,,,,
"814. motorboat,","speedboat,",item,vehicle,watercraft,,,,,,,
"817. sports car,","sports car, sport car,",item,vehicle,landcraft,,,,,,,
"820. steam locomotive,","steam locomotive,",item,vehicle,landcraft,,,,,,,
"829. tram,","streetcar, tram, tramcar, trolley, trolley car,",item,vehicle,landcraft,,,,,,,
"833. submarine,","submarine, pigboat, sub, U-boat,",item,vehicle,watercraft,,,,,,,
"847. tank,","tank, army tank, armored combat vehicle, armoured combat vehicle,",item,vehicle,landcraft,,,,,,,
"856. threshing machine,","thresher, thrasher, threshing machine,",item,vehicle,landcraft,,,,,,,
"864. tow truck,","tow truck, tow car, wrecker,",item,vehicle,landcraft,,,,,,,
"866. tractor,","tractor,",item,vehicle,landcraft,,,,,,,
"867. semi-trailer truck,","trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi,",item,vehicle,landcraft,,,,,,,
"870. tricycle,","tricycle, trike, velocipede,",item,vehicle,landcraft,,,,,,,
"871. trimaran,","trimaran,",item,vehicle,watercraft,,,,,,,
"874. trolleybus,","trolleybus, trolley coach, trackless trolley,",item,vehicle,landcraft,,,,,,,
"880. unicycle,","unicycle, monocycle,",item,vehicle,landcraft,,,,,,,
"895. military aircraft,","warplane, military plane,",item,vehicle,aircraft,,,,,,,
"908. wing,","wing,",item,vehicle,aircraft,,,,,,,
"914. yawl,","yawl,",item,vehicle,watercraft,,,,,,,
"586. half-track,","half track,",item,vehicle,landcraft,,,,,,,
"595. harvester,","harvester, reaper,",item,vehicle,landcraft,,,,,,,
"780. schooner,","schooner,",item,vehicle,watercraft,,,,,,,
"403. aircraft carrier,","aircraft carrier, carrier, flattop, attack aircraft carrier,",item,vehicle,watercraft,,,,,,,
"404. airliner,","airliner,",item,vehicle,aircraft,,,,,,,
"405. airship,","airship, dirigible,",item,vehicle,aircraft,,,,,,,
"407. ambulance,","ambulance,",item,vehicle,landcraft,,,,,,,
"408. amphibious vehicle,","amphibian, amphibious vehicle,",item,vehicle,amphibious,,,,,,,
"785. seat belt,","seat belt, seatbelt,",item,vehicle,landcraft,car,parts,,,,,
"535. disc brake,","disk brake, disc brake,",item,vehicle,landcraft,car,parts,,,,,
"417. balloon,","balloon,",item,vehicle,aircraft,,,,,,,
"426. barometer,","barometer,",item,vehicle,,,,,,,,
"475. car mirror,","car mirror,",item,vehicle,landcraft,,,,,,,
"581. grille,","grille, radiator grille,",item,vehicle,landcraft,car,,,,,,
"657. missile,","missile,",item,vehicle,aircraft,,,,,,,
"685. odometer,","odometer, hodometer, mileometer, milometer,",item,vehicle,,,,,,,,
"744. projectile,","projectile, missile,",item,vehicle,aircraft,,,,,,,
"958. hay,","hay,",food,vegetable,,,,,,,,
"936. cabbage,","head cabbage,",food,vegetable,,,,,,,,
"937. broccoli,","broccoli,",food,vegetable,,,,,,,,
"938. cauliflower,","cauliflower,",food,vegetable,,,,,,,,
"939. zucchini,","zucchini, courgette,",food,vegetable,,,,,,,,
"940. spaghetti squash,","spaghetti squash,",food,vegetable,,,,,,,,
"941. acorn squash,","acorn squash,",food,vegetable,,,,,,,,
"942. butternut squash,","butternut squash,",food,vegetable,,,,,,,,
"943. cucumber,","cucumber, cuke,",food,vegetable,,,,,,,,
"944. artichoke,","artichoke, globe artichoke,",food,vegetable,,,,,,,,
"945. bell pepper,","bell pepper,",food,vegetable,,,,,,,,
"946. cardoon,","cardoon,",food,vegetable,,,,,,,,
"947. mushroom,","mushroom,",food,vegetable,,,,,,,,
"987. corn,","corn,",food,vegetable,,,,,,,,
"611. jigsaw puzzle,","jigsaw puzzle,",item,toys and hobbies,,,,,,,,
"409. analog clock,","analog clock,",item,tool,,,,,,,,
"398. abacus,","abacus,",item,stationery,,,,,,,,
"418. ballpoint pen,","ballpoint, ballpoint pen, ballpen, Biro,",item,stationery,,,,,,,,
"446. ring binder,","binder, ring-binder,",item,stationery,,,,,,,,
"549. envelope,","envelope,",item,stationery,,,,,,,,
"553. filing cabinet,","file, file cabinet, filing cabinet,",item,stationery,,,,,,,,
"563. fountain pen,","fountain pen,",item,stationery,,,,,,,,
"583. guillotine,","guillotine,",item,stationery,,,,,,,,
"623. paper knife,","letter opener, paper knife, paperknife,",item,stationery,,,,,,,,
"696. paintbrush,","paintbrush,",item,stationery,,,,,,,,
